,k_10000,k_20000,k_30000,k_40000,k_50000,k_60000,k_70000,k_80000,k_90000,k_100000,k_110000,k_120000,k_130000,k_140000,k_150000,k_160000,k_170000,k_180000,k_190000,k_200000,k_210000,k_220000,k_230000,k_240000,k_250000,k_260000,k_270000,k_280000,k_290000,k_300000,k_310000,k_320000,k_330000,k_340000,k_350000,k_360000,k_370000,k_380000,k_390000,k_400000,k_410000,k_420000,k_430000,k_440000,k_450000,k_460000,k_470000,k_480000,k_490000,k_500000,k_510000,k_520000,k_530000,k_540000,k_550000,k_560000,k_570000,k_580000,k_590000,k_600000,k_610000,k_620000,k_630000,k_640000,k_650000,k_660000,k_670000,k_680000,k_690000,k_700000,k_710000,k_720000,k_730000,k_740000,k_750000,k_760000,k_770000,k_780000,k_790000,k_800000,k_810000,k_820000,k_830000,k_840000,k_850000,k_860000,k_870000,k_880000,k_890000,k_900000,k_910000,k_920000,k_930000,k_940000,k_950000,k_960000,k_970000,k_980000,k_990000,k_1000000
analytical,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359,10.30359
seed_1,10.35442234,10.30695501,10.27601336,10.27171142,10.28815723,10.25809639,10.26212274,10.26341805,10.26806136,10.27078131,10.27444564,10.28740796,10.29887972,10.29162857,10.30112355,10.31223179,10.3119338,10.30957359,10.30701169,10.31291331,10.31527086,10.3226381,10.31305311,10.3121127,10.30842439,10.31013701,10.30655645,10.30037693,10.29727697,10.29733411,10.29540961,10.29595705,10.29895837,10.29945217,10.29878097,10.29737852,10.29999826,10.30428238,10.30492083,10.30435877,10.30220233,10.3010212,10.29933815,10.29952635,10.2986155,10.2971561,10.29740616,10.29757507,10.29979696,10.29821086,10.29439615,10.29077094,10.29323761,10.29465151,10.29442325,10.2959671,10.29593401,10.29822564,10.29768888,10.29968897,10.29758189,10.29874869,10.29761237,10.30026607,10.30034634,10.29899126,10.3007497,10.30126212,10.29983086,10.29809069,10.30008938,10.29896309,10.29890758,10.29699507,10.29851331,10.29641021,10.29590355,10.29586801,10.29572361,10.2955764,10.29554885,10.29608523,10.29784718,10.29823162,10.29871078,10.29952964,10.29949786,10.29960212,10.29773374,10.29933488,10.30035141,10.29820863,10.30014396,10.30033227,10.29962222,10.30057904,10.30103726,10.30077147,10.29969367,10.30021656
seed_2,10.22793334,10.19317865,10.24087783,10.26725019,10.27914987,10.28596676,10.28503026,10.29240999,10.31009255,10.30042481,10.28997553,10.29353656,10.27776754,10.26823566,10.2774669,10.28118645,10.28124991,10.27953863,10.28666648,10.29167861,10.28604327,10.28835711,10.2922232,10.29359552,10.29144835,10.2930329,10.29232603,10.2936879,10.29240067,10.29245954,10.29312086,10.29781669,10.29628613,10.29933206,10.30050324,10.29879539,10.29884189,10.29901319,10.29471157,10.29256387,10.29290347,10.29084847,10.29013053,10.28986169,10.28869625,10.28567089,10.28354901,10.28346363,10.28482629,10.28849651,10.29108059,10.28872831,10.28878222,10.28947448,10.29061648,10.29114885,10.28994887,10.29127214,10.28918882,10.28804181,10.28746405,10.28820283,10.28900414,10.28968365,10.29059462,10.29289996,10.29408739,10.29521461,10.2951136,10.2932247,10.29160317,10.29204981,10.29221054,10.29178052,10.29317713,10.29289304,10.2920227,10.29320468,10.29544259,10.29459921,10.29356406,10.29389441,10.29410877,10.2952029,10.29537127,10.29532588,10.29485615,10.29364976,10.29437387,10.29498212,10.29536399,10.29679684,10.29633982,10.29644071,10.29651275,10.29672926,10.29751994,10.29848384,10.29806864,10.29904616
seed_3,10.25690959,10.28761433,10.3191999,10.29935041,10.28437133,10.28801571,10.29188328,10.29857941,10.28091826,10.28267403,10.29879412,10.2848607,10.29257813,10.29851593,10.30064563,10.29969584,10.29804224,10.30074348,10.29684838,10.29912823,10.29921813,10.30195991,10.29557977,10.29505843,10.29266181,10.29540285,10.29736175,10.29368521,10.29956291,10.29766178,10.29803619,10.29669917,10.29550292,10.29418629,10.29559756,10.29705596,10.29755846,10.30179518,10.30094278,10.29794484,10.29858219,10.29673218,10.29788809,10.29623495,10.29770102,10.29735119,10.29640197,10.29570416,10.29639029,10.29794702,10.29977866,10.30237265,10.30478755,10.30446554,10.30689433,10.30588899,10.30673242,10.30607866,10.30558781,10.30285418,10.30434019,10.30467775,10.30473477,10.30526764,10.30456469,10.30504095,10.30520918,10.30589962,10.3057346,10.30588121,10.30557739,10.30662522,10.30704685,10.30593246,10.30604725,10.30444897,10.30289404,10.30571939,10.30587282,10.30761062,10.30731412,10.30754524,10.30721894,10.30816399,10.30806462,10.3071555,10.30721301,10.30728398,10.30925826,10.30906536,10.30916726,10.30861558,10.30992299,10.31020086,10.31086617,10.30998438,10.31003539,10.30895595,10.31004427,10.31000191
error_1,0.493345911,0.032658617,-0.267641084,-0.30939294,-0.149780513,-0.441531641,-0.402454484,-0.389883041,-0.344818068,-0.318419988,-0.282856364,-0.157052445,-0.04571494,-0.116089926,-0.023937773,0.083871641,0.080979542,0.058072866,0.033208717,0.090486034,0.113366894,0.184868575,0.091842843,0.08271583,0.046919472,0.063541057,0.028790451,-0.031183985,-0.061270198,-0.060715634,-0.07939359,-0.07408049,-0.044951614,-0.04015911,-0.046673344,-0.060284619,-0.034859112,0.006719794,0.012916178,0.007461186,-0.01346783,-0.024931116,-0.041265714,-0.039439166,-0.048279289,-0.062443284,-0.060016363,-0.058377032,-0.0368128,-0.052206464,-0.089229579,-0.12441353,-0.100473621,-0.08675122,-0.088966564,-0.073982952,-0.074304102,-0.052063019,-0.057272465,-0.037860881,-0.058310841,-0.046986633,-0.058015022,-0.032259921,-0.031480872,-0.044632405,-0.02756612,-0.022592902,-0.036483789,-0.053372756,-0.03397476,-0.044905805,-0.045444549,-0.064006138,-0.049271079,-0.069682412,-0.074599727,-0.074944655,-0.076346108,-0.077774834,-0.078042216,-0.072836458,-0.055736108,-0.052004981,-0.047354563,-0.039407236,-0.039715672,-0.038703792,-0.056837083,-0.041297451,-0.031431666,-0.052228107,-0.033445042,-0.031617427,-0.038508714,-0.029222436,-0.024775248,-0.027354835,-0.037815266,-0.032740433
error_2,-0.734274753,-1.071581361,-0.60864388,-0.352690761,-0.237200141,-0.171039803,-0.180128868,-0.108505967,0.063109557,-0.030719293,-0.132133266,-0.097572205,-0.250616144,-0.343126425,-0.253533962,-0.217434409,-0.216818507,-0.233427087,-0.164248772,-0.11560427,-0.170297246,-0.147840607,-0.110318831,-0.096999978,-0.117839025,-0.102460405,-0.109320829,-0.096103397,-0.108596421,-0.108025067,-0.101606722,-0.056032024,-0.070886652,-0.04132482,-0.029958102,-0.046533393,-0.046082094,-0.044419566,-0.086168316,-0.107012507,-0.103716569,-0.123661073,-0.130628936,-0.133238124,-0.144549133,-0.173911326,-0.194504925,-0.195333568,-0.182108469,-0.146487681,-0.121408266,-0.144237979,-0.143714763,-0.136996134,-0.125912619,-0.120745779,-0.132392011,-0.119549206,-0.139768566,-0.150900705,-0.156508071,-0.149337949,-0.141560951,-0.134966065,-0.126124778,-0.103750634,-0.092226205,-0.081286134,-0.082266472,-0.100598917,-0.116336442,-0.112001642,-0.1104417,-0.114615197,-0.101060601,-0.103817796,-0.112264754,-0.100793219,-0.079073507,-0.08725881,-0.097305308,-0.094099144,-0.092018704,-0.081399784,-0.079765693,-0.080206219,-0.084765116,-0.096473559,-0.089445815,-0.083542532,-0.079836348,-0.06593003,-0.070365572,-0.069386398,-0.068687225,-0.066585918,-0.058912088,-0.049557096,-0.05358676,-0.044099581
error_3,-0.453049956,-0.155049551,0.151499623,-0.041146727,-0.186524017,-0.151154015,-0.113617875,-0.048629555,-0.220037288,-0.202996917,-0.046545719,-0.181774508,-0.106874109,-0.049245651,-0.028576156,-0.037794206,-0.053842981,-0.027626487,-0.065429816,-0.043303062,-0.042430551,-0.015820602,-0.077742127,-0.082801917,-0.106061965,-0.079459198,-0.060447378,-0.096129504,-0.039084339,-0.05753548,-0.053901698,-0.066877952,-0.078487983,-0.091266345,-0.077569469,-0.063415179,-0.058538238,-0.017419365,-0.02569221,-0.054788283,-0.048602574,-0.066557578,-0.055339061,-0.071383372,-0.057154642,-0.060549867,-0.069762384,-0.076534878,-0.069875742,-0.054767125,-0.036990408,-0.011814814,0.011622648,0.008497427,0.032069696,0.022312514,0.030498302,0.024153329,0.019389456,-0.007141394,0.00728086,0.010557,0.011110399,0.016282092,0.009459713,0.014081985,0.015714717,0.022415682,0.020814105,0.022237007,0.019288326,0.029457888,0.033549957,0.022734406,0.023848484,0.008336609,-0.006754539,0.020666486,0.022155579,0.039021545,0.036143907,0.038387009,0.035220151,0.044392197,0.043427776,0.034604444,0.035162599,0.035851388,0.055012476,0.053140313,0.054129289,0.048775039,0.061463917,0.064160744,0.070617814,0.062059729,0.062554799,0.05207845,0.062640982,0.062229864
