,k_10000,k_20000,k_30000,k_40000,k_50000,k_60000,k_70000,k_80000,k_90000,k_100000,k_110000,k_120000,k_130000,k_140000,k_150000,k_160000,k_170000,k_180000,k_190000,k_200000,k_210000,k_220000,k_230000,k_240000,k_250000,k_260000,k_270000,k_280000,k_290000,k_300000,k_310000,k_320000,k_330000,k_340000,k_350000,k_360000,k_370000,k_380000,k_390000,k_400000,k_410000,k_420000,k_430000,k_440000,k_450000,k_460000,k_470000,k_480000,k_490000,k_500000,k_510000,k_520000,k_530000,k_540000,k_550000,k_560000,k_570000,k_580000,k_590000,k_600000,k_610000,k_620000,k_630000,k_640000,k_650000,k_660000,k_670000,k_680000,k_690000,k_700000,k_710000,k_720000,k_730000,k_740000,k_750000,k_760000,k_770000,k_780000,k_790000,k_800000,k_810000,k_820000,k_830000,k_840000,k_850000,k_860000,k_870000,k_880000,k_890000,k_900000,k_910000,k_920000,k_930000,k_940000,k_950000,k_960000,k_970000,k_980000,k_990000,k_1000000
analytical,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815,10.30815
seed_1,10.35978127,10.34433705,10.28651769,10.29751557,10.2927625,10.28205745,10.26746617,10.25110069,10.25443344,10.25832289,10.25141881,10.26075258,10.25528299,10.27494442,10.27748312,10.27505029,10.27896974,10.28137468,10.28348622,10.28676573,10.28946153,10.2924217,10.29617356,10.30509063,10.31194133,10.30783367,10.30577031,10.30798292,10.30559003,10.30645562,10.30541034,10.31035375,10.31448306,10.31618689,10.32094927,10.31614503,10.31674302,10.31804225,10.31980232,10.32060579,10.31785532,10.31836892,10.31788189,10.31710145,10.3182104,10.3185371,10.31293964,10.31357899,10.310015,10.31137335,10.30932467,10.31015853,10.30826966,10.30767319,10.30849857,10.3086743,10.30616557,10.30713127,10.30519422,10.30640144,10.30698653,10.30793076,10.30821957,10.30907492,10.30880966,10.30960834,10.30965105,10.31117719,10.31051406,10.31091001,10.31259661,10.31125785,10.31019707,10.31252443,10.3127724,10.3127252,10.31200029,10.31236813,10.31428368,10.3149145,10.31611127,10.31769284,10.31677669,10.31655194,10.31634215,10.31507655,10.3140042,10.31441705,10.31355225,10.31415365,10.31476133,10.31164277,10.31213343,10.31199112,10.31281493,10.31393856,10.31310532,10.31418923,10.31366418,10.31477708
seed_2,10.24512589,10.27773013,10.29404743,10.32281814,10.34513225,10.33748696,10.33660851,10.33058741,10.33107378,10.32546907,10.32785268,10.32857428,10.32709786,10.33908012,10.33696464,10.32909231,10.3241737,10.32778548,10.32435901,10.31975661,10.32088412,10.31981195,10.31618291,10.31172684,10.30811214,10.3049621,10.30402742,10.30440729,10.30681081,10.31202838,10.31248843,10.31068273,10.31463557,10.31131117,10.31513676,10.31147578,10.31386151,10.31520847,10.31793198,10.32025,10.32028614,10.31676896,10.31853522,10.31639465,10.31182343,10.310035,10.31042289,10.3093848,10.30933996,10.30844902,10.30819581,10.30718728,10.30816211,10.30624478,10.30561579,10.30742505,10.30527732,10.30333308,10.30162782,10.30078143,10.30098574,10.30109861,10.29946784,10.29807029,10.29900577,10.30000973,10.30021801,10.30217276,10.3018336,10.30228826,10.30391341,10.30269498,10.30107357,10.30145903,10.30439223,10.30648098,10.30435658,10.30496356,10.30259324,10.30155962,10.30357242,10.30603872,10.30574519,10.30527026,10.30582539,10.30526344,10.30588025,10.30660864,10.30545429,10.30609432,10.30587731,10.30470359,10.30519306,10.30620666,10.30605969,10.30533828,10.30610422,10.30625464,10.30705936,10.30729593
seed_3,10.38107013,10.32565103,10.29242868,10.31275351,10.29934201,10.29199967,10.26268411,10.26589519,10.26614412,10.27025827,10.26045275,10.25297167,10.26905391,10.26627928,10.2695137,10.27595739,10.27884865,10.28570673,10.28495583,10.28206359,10.28155653,10.2892572,10.29337104,10.29761032,10.30078983,10.30305256,10.29976005,10.30034637,10.30326262,10.2983757,10.30284001,10.30078768,10.29867704,10.29608911,10.29096206,10.29217458,10.29088007,10.28662008,10.28526948,10.28139605,10.28079156,10.28461813,10.28584135,10.28443842,10.28840889,10.28815434,10.29024225,10.29111575,10.29386784,10.29395183,10.29353622,10.29101998,10.29061401,10.29268321,10.2933982,10.29252453,10.2922402,10.29072948,10.29169069,10.28999332,10.28770911,10.28837107,10.28725233,10.28777027,10.28637389,10.28825515,10.28556219,10.28748419,10.28990531,10.28977107,10.29128067,10.28975298,10.28791309,10.28664259,10.28847227,10.28940352,10.28959812,10.29041117,10.29054689,10.29144452,10.29105589,10.28990473,10.29129047,10.29217209,10.29338464,10.29271819,10.29277567,10.29334161,10.29492852,10.2941038,10.29488588,10.2941367,10.29288876,10.29437647,10.29577545,10.29680226,10.29640873,10.29697016,10.29788666,10.29945156
error_1,0.50087814,0.351052808,-0.209856376,-0.103165262,-0.149275088,-0.25312544,-0.394676348,-0.553438881,-0.521107667,-0.483375872,-0.550352779,-0.4598053,-0.51286613,-0.322129383,-0.297501298,-0.321102332,-0.283079505,-0.259749034,-0.239264854,-0.207450124,-0.181298002,-0.15258121,-0.116184184,-0.029679137,0.036779927,-0.003068737,-0.02308552,-0.001620853,-0.024834427,-0.016437285,-0.026577611,0.021378715,0.061437406,0.077966366,0.124166509,0.07756028,0.083361418,0.095965328,0.113039876,0.120834388,0.094151909,0.099134374,0.094409666,0.086838569,0.097596562,0.100765899,0.046464594,0.052666967,0.01809248,0.031269917,0.011395546,0.019484874,0.001160829,-0.004625563,0.003381499,0.005086267,-0.019251078,-0.009882763,-0.028674204,-0.016962889,-0.011286894,-0.002126861,0.000674903,0.008972706,0.006399402,0.014147446,0.014561779,0.029366957,0.022933892,0.026775028,0.043136838,0.030149445,0.019858753,0.042436616,0.044842188,0.044384298,0.037351901,0.04092034,0.059503209,0.065622832,0.077232772,0.09257568,0.083688053,0.081507739,0.079472553,0.067194889,0.056791956,0.060797039,0.052407561,0.05824178,0.064136921,0.033883578,0.038643501,0.037262942,0.045254774,0.056155178,0.048071865,0.058586943,0.053493401,0.064289713
error_2,-0.611400785,-0.295105038,-0.136809903,0.142296532,0.358767092,0.284599661,0.276077764,0.217666701,0.222385006,0.168013368,0.191136916,0.198137202,0.18381436,0.300055005,0.279532603,0.203162643,0.155446904,0.190485005,0.157244607,0.112596441,0.123534485,0.113133297,0.077927756,0.034699146,-0.000367282,-0.030926015,-0.039993403,-0.036308261,-0.012991565,0.037624404,0.042087377,0.02457017,0.062916915,0.030666705,0.06777899,0.032263597,0.055407711,0.068474654,0.094895592,0.117382848,0.117733444,0.083613063,0.100747661,0.079981859,0.035636171,0.018286501,0.022049446,0.011978871,0.011543875,0.002900811,0.000444406,-0.009339406,0.00011748,-0.018482657,-0.024584528,-0.007032785,-0.027868046,-0.046729239,-0.063272071,-0.071482953,-0.069500929,-0.06840597,-0.084226171,-0.097783889,-0.08870874,-0.078969262,-0.076948725,-0.057985575,-0.061275787,-0.056865102,-0.041099421,-0.052919486,-0.068648885,-0.064909513,-0.036454359,-0.016191266,-0.036800202,-0.030911851,-0.053906472,-0.063933684,-0.044407386,-0.020481658,-0.02332921,-0.027936536,-0.022551185,-0.028002697,-0.022018985,-0.014952829,-0.026151249,-0.019942279,-0.022047506,-0.033433836,-0.028685458,-0.018852461,-0.020278226,-0.027276669,-0.019846238,-0.018387004,-0.010580366,-0.008285386
error_3,0.707402686,0.169778573,-0.152513497,0.044658935,-0.085446855,-0.156675349,-0.441067408,-0.409916522,-0.407501637,-0.367590014,-0.462713969,-0.535288388,-0.379273584,-0.406190442,-0.374813133,-0.312302499,-0.284254207,-0.217723549,-0.225008076,-0.253065875,-0.257984895,-0.18328022,-0.143371604,-0.102246087,-0.071401464,-0.04945058,-0.081391423,-0.075703497,-0.047412775,-0.094821088,-0.051512541,-0.071422321,-0.09189777,-0.117003439,-0.166741268,-0.154978536,-0.167536658,-0.208863084,-0.221965338,-0.259541722,-0.265405917,-0.228284125,-0.216417592,-0.230027503,-0.191509728,-0.193979133,-0.173724189,-0.165250312,-0.138552117,-0.137737324,-0.141769183,-0.166179382,-0.170117722,-0.150044285,-0.143108123,-0.15158365,-0.154341953,-0.168997541,-0.159672783,-0.176139074,-0.198298337,-0.191876622,-0.202729588,-0.19770502,-0.211251388,-0.193001169,-0.21912574,-0.2004803,-0.176992865,-0.178295135,-0.163650413,-0.178470628,-0.196319514,-0.208644713,-0.190894874,-0.181860761,-0.179972934,-0.172085486,-0.170768858,-0.162060894,-0.165831017,-0.176998491,-0.163555342,-0.155002692,-0.14323967,-0.149704942,-0.149147325,-0.143657106,-0.128262394,-0.136263054,-0.128676048,-0.135943889,-0.148050232,-0.133617865,-0.120046274,-0.110085127,-0.113902786,-0.108456319,-0.099565295,-0.084384104
