"","k_10000","k_20000","k_30000","k_40000","k_50000","k_60000","k_70000","k_80000","k_90000","k_100000","k_110000","k_120000","k_130000","k_140000","k_150000","k_160000","k_170000","k_180000","k_190000","k_200000","k_210000","k_220000","k_230000","k_240000","k_250000","k_260000","k_270000","k_280000","k_290000","k_300000","k_310000","k_320000","k_330000","k_340000","k_350000","k_360000","k_370000","k_380000","k_390000","k_400000","k_410000","k_420000","k_430000","k_440000","k_450000","k_460000","k_470000","k_480000","k_490000","k_500000","k_510000","k_520000","k_530000","k_540000","k_550000","k_560000","k_570000","k_580000","k_590000","k_600000","k_610000","k_620000","k_630000","k_640000","k_650000","k_660000","k_670000","k_680000","k_690000","k_700000","k_710000","k_720000","k_730000","k_740000","k_750000","k_760000","k_770000","k_780000","k_790000","k_800000","k_810000","k_820000","k_830000","k_840000","k_850000","k_860000","k_870000","k_880000","k_890000","k_900000","k_910000","k_920000","k_930000","k_940000","k_950000","k_960000","k_970000","k_980000","k_990000","k_1000000"
"seed_1",1.46714439405794,1.47019160111622,1.46129678680634,1.45671471786423,1.452505723362,1.4547446465671,1.45693493206511,1.45766982253238,1.45560293064802,1.45629923091849,1.45735642639974,1.45504952209803,1.45504134566444,1.45542047623972,1.45481820940989,1.45408017219236,1.45497092180642,1.4558691951841,1.45582556369324,1.4555081333029,1.45629281051482,1.45638197435516,1.45612328839501,1.45763542158773,1.45607605097172,1.45616371098552,1.45573173540189,1.454947945109,1.45513044183213,1.4539170407717,1.45454063451915,1.4549695101977,1.45551932863793,1.45608479812616,1.45626663757066,1.4558454712625,1.45551879508782,1.45521357497955,1.45540060936605,1.45560671254291,1.45443170600282,1.45466615021553,1.45525349417335,1.45555774408517,1.45618603680482,1.45583112701612,1.45543392122127,1.45537736664462,1.45542063009421,1.45558713208954,1.45574843839227,1.45630115157422,1.45695733430587,1.45660968207064,1.45649006753976,1.45609566917525,1.4564011963189,1.45671807528664,1.45704457918539,1.45676560078291,1.45666239365614,1.45652497788056,1.4564840902465,1.45641649594044,1.45652271653162,1.45636078543983,1.45658070065024,1.45632472719699,1.45700537094919,1.45688208303129,1.45712129975648,1.45685620642834,1.45705714699608,1.45727263527283,1.45734400186886,1.45767939375235,1.45700426625339,1.45665449653286,1.45726707835898,1.4572313805338,1.45737412204029,1.45713761625715,1.45703515104873,1.45682144217634,1.45692926492264,1.45693630437615,1.45688601667736,1.45663492603214,1.45655435253949,1.45674681519559,1.45669740609728,1.45636389098347,1.45636353027561,1.45639263042643,1.45597685214034,1.4556177651867,1.45572303160922,1.45569153673381,1.45569597372509,1.45590023122251
"seed_2",1.48318337732244,1.46383349272316,1.46308358583829,1.4569240173169,1.45408041681523,1.45657108699554,1.45876307510718,1.45539424720318,1.45380098679188,1.45402967248432,1.45188390227527,1.45204814107245,1.4498900028936,1.44625983093818,1.44713803350705,1.44731415312297,1.44768514048315,1.44643635143136,1.44588011175209,1.44550324236072,1.44671584302527,1.44690787691663,1.44886490892536,1.44855765081166,1.44893233132448,1.44858956651227,1.44806692463083,1.44776483154745,1.44807529572726,1.44859220981677,1.4490421514829,1.44990124743442,1.44993726515503,1.45006999114098,1.44967369308478,1.44877287875684,1.44898653006535,1.4504037404991,1.45045555094093,1.45177195077297,1.45201015719261,1.45264109392024,1.45317968408556,1.4530167973131,1.45269900335035,1.45251477636562,1.45199407008265,1.45231571044663,1.45231205380216,1.45241041179736,1.45211478329507,1.45232561526711,1.45239381822461,1.45215777252617,1.4520179739483,1.45207164559491,1.45274924842425,1.45279393386498,1.45273377867607,1.452940279253,1.45309866303166,1.45327714521013,1.4538175796428,1.45406634736841,1.45445999236207,1.45436959853924,1.45421442117869,1.45494577106028,1.45482309051244,1.45504386331002,1.45534460254659,1.45527673435307,1.45498816736981,1.45485519177948,1.45516339073608,1.45498934255188,1.45478446690941,1.45453021221384,1.45479101525041,1.45431635013106,1.45422916744335,1.45463487368407,1.45459180099908,1.45478996061896,1.45490705872093,1.45498673897888,1.45498852540418,1.45561010072253,1.45587258197036,1.45571613400657,1.4556517652178,1.45569835330255,1.45569523608104,1.45610776676746,1.4561705602101,1.45623968624561,1.45593388788836,1.45612439475347,1.45568777108158,1.45530670843188
"seed_3",1.44363877621113,1.4506579032728,1.44753396460453,1.46261299681539,1.46429005460945,1.46254254367603,1.4587452857658,1.46096287293627,1.46095371253307,1.46101424262828,1.45686305170231,1.45767426670987,1.45887998619352,1.45776499161035,1.45944319828834,1.46136114256916,1.46172651386176,1.46087993528239,1.46036737386677,1.46020130373295,1.46012814722206,1.45906640476908,1.45941434672738,1.45895468544448,1.46037789067102,1.46121751297558,1.46068446450808,1.46074781574329,1.45956254928414,1.45913933880546,1.45863874519368,1.45812237403101,1.45796306341207,1.45687199210224,1.4562816013054,1.45525641636712,1.45470534668546,1.45389729681474,1.45390744433005,1.45447234692266,1.45437554132798,1.45472789059249,1.45474824284533,1.45482080146774,1.45472334499537,1.45492654265875,1.45422605795107,1.4535305268369,1.45344595765716,1.45363364404448,1.45367706949915,1.45391607580102,1.45384616976326,1.45434377748554,1.45380423275726,1.45367810313472,1.45391000360776,1.45357860944951,1.45365839390174,1.45328187748607,1.45360203809065,1.45311641537296,1.45304376399478,1.45297758264311,1.45277871407228,1.45339489452342,1.45397945649498,1.45383962963182,1.45391973582322,1.45371552973011,1.45326976686468,1.45354710381095,1.45381152635805,1.45323219055512,1.4532433248929,1.45330948724198,1.4531950874022,1.45322509368582,1.45311977914214,1.45288640250967,1.45294440513947,1.45277320125589,1.45278394007042,1.45328110344717,1.45299941037241,1.45247048024405,1.45260971973612,1.45264292054708,1.45267807527082,1.45286668006193,1.45305144869848,1.45292848344009,1.45285541987955,1.45282438899976,1.45303270371602,1.45280530271908,1.45260522591274,1.45256932100689,1.45261760561934,1.45254867523353
