,k_10000,k_20000,k_30000,k_40000,k_50000,k_60000,k_70000,k_80000,k_90000,k_100000,k_110000,k_120000,k_130000,k_140000,k_150000,k_160000,k_170000,k_180000,k_190000,k_200000,k_210000,k_220000,k_230000,k_240000,k_250000,k_260000,k_270000,k_280000,k_290000,k_300000,k_310000,k_320000,k_330000,k_340000,k_350000,k_360000,k_370000,k_380000,k_390000,k_400000,k_410000,k_420000,k_430000,k_440000,k_450000,k_460000,k_470000,k_480000,k_490000,k_500000,k_510000,k_520000,k_530000,k_540000,k_550000,k_560000,k_570000,k_580000,k_590000,k_600000,k_610000,k_620000,k_630000,k_640000,k_650000,k_660000,k_670000,k_680000,k_690000,k_700000,k_710000,k_720000,k_730000,k_740000,k_750000,k_760000,k_770000,k_780000,k_790000,k_800000,k_810000,k_820000,k_830000,k_840000,k_850000,k_860000,k_870000,k_880000,k_890000,k_900000,k_910000,k_920000,k_930000,k_940000,k_950000,k_960000,k_970000,k_980000,k_990000,k_1000000
analytical ,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123,1.63123
seed_1,1.617962521,1.611009201,1.625839948,1.624236243,1.620055221,1.619330471,1.61632884,1.614633263,1.615211332,1.613056154,1.615455794,1.614669201,1.612714853,1.616543909,1.615483907,1.612187615,1.611723635,1.611600327,1.612595076,1.611990934,1.612325684,1.610952641,1.61173333,1.611023831,1.61218788,1.610854827,1.612115955,1.612274818,1.612691997,1.614678817,1.614168903,1.614179715,1.612730629,1.613105261,1.613781307,1.614390946,1.615089412,1.614343541,1.613731428,1.614096076,1.613775487,1.613930883,1.613967168,1.613274627,1.613197607,1.613455428,1.613877796,1.614343373,1.613760727,1.614551792,1.615823493,1.616058871,1.615315805,1.615457637,1.615168316,1.614846286,1.614804722,1.6147667,1.615026621,1.614683656,1.614958568,1.61434654,1.614441697,1.613941345,1.614161384,1.614546852,1.61420152,1.614455457,1.614999651,1.614864375,1.614681621,1.615032969,1.615086721,1.614570821,1.614371507,1.614268311,1.614391726,1.614077759,1.614665176,1.614660863,1.614715057,1.614937408,1.614885951,1.614667564,1.61450648,1.614400486,1.614367805,1.614223037,1.614456203,1.614310471,1.614420858,1.614862659,1.614864367,1.614885965,1.614338459,1.614389298,1.614224286,1.614068822,1.614431726,1.61461055
seed_2,1.630336904,1.627430938,1.625233058,1.618641021,1.622934943,1.61746256,1.624766296,1.628223875,1.625315305,1.624288424,1.625080357,1.62731134,1.626548326,1.625639808,1.623822795,1.62465801,1.622829055,1.621348697,1.621576763,1.620417193,1.620935545,1.620270811,1.619206251,1.620559005,1.620514318,1.620183546,1.621002349,1.620253818,1.621021754,1.620993986,1.620601291,1.620629684,1.620883086,1.619897612,1.619483413,1.619362156,1.618778897,1.618517433,1.61809327,1.617664767,1.617735034,1.6184375,1.618055751,1.617451145,1.617249375,1.617307833,1.617317961,1.617418555,1.617446634,1.617609059,1.617279825,1.618148959,1.618339391,1.618638093,1.618542439,1.61824802,1.61880901,1.618017988,1.617991105,1.617956542,1.618460403,1.61822204,1.618343672,1.618379176,1.617924066,1.617458712,1.61772455,1.617967883,1.618251007,1.618297535,1.618282858,1.618295221,1.618341688,1.618176283,1.618385819,1.618419347,1.619082681,1.618890679,1.61879856,1.618728379,1.619108155,1.618783392,1.619205115,1.619611354,1.618985295,1.619284403,1.618802958,1.619271161,1.618644203,1.618546308,1.618572782,1.618414979,1.618660164,1.618668055,1.618380919,1.618669707,1.618057413,1.618007245,1.617898629,1.617675254
seed_3,1.616249127,1.611248644,1.618166818,1.61878762,1.615475862,1.613654395,1.61569089,1.615407326,1.619680792,1.61609353,1.610444306,1.614126559,1.612712322,1.611460317,1.610692826,1.614082045,1.615394782,1.615481173,1.615575572,1.615850929,1.6143893,1.613061732,1.614881014,1.614614808,1.614592224,1.613195073,1.614877088,1.615560441,1.614122412,1.613661759,1.61290285,1.613653071,1.614256022,1.614912721,1.615850515,1.614702963,1.614551495,1.615300944,1.615594359,1.615973226,1.616385549,1.61643951,1.616173792,1.615939238,1.61555269,1.616360029,1.616342702,1.616607189,1.616891641,1.617060882,1.616825588,1.616229286,1.61648461,1.616091924,1.615438171,1.615300165,1.614851809,1.614768878,1.614480763,1.615002707,1.614553848,1.61418325,1.61421813,1.614256526,1.614336439,1.614565433,1.61455575,1.61494762,1.614663782,1.614906509,1.614786179,1.614885696,1.614454551,1.614929997,1.615197325,1.615842551,1.61559761,1.615797884,1.615676656,1.615114891,1.615420662,1.615114099,1.614994915,1.614865669,1.614728524,1.614763796,1.614914574,1.615079247,1.615058141,1.614890033,1.614740858,1.61478538,1.614691247,1.614603173,1.614666166,1.614555457,1.614413904,1.614303702,1.614218815,1.614239758
error_1,-0.813342018,-1.239604409,-0.330428695,-0.428741318,-0.685052322,-0.729481986,-0.913492273,-1.017436965,-0.98199935,-1.114119162,-0.96701299,-1.015233842,-1.135042085,-0.900307805,-0.965289567,-1.167363585,-1.195807152,-1.203366355,-1.142384826,-1.179420805,-1.158899481,-1.243071731,-1.195212815,-1.23870754,-1.167347339,-1.249068065,-1.171756589,-1.162017741,-1.136443236,-1.014644348,-1.045903827,-1.045241014,-1.134074962,-1.111108734,-1.069664793,-1.032291829,-0.989473465,-1.035197918,-1.072722547,-1.050368372,-1.070021579,-1.06049527,-1.058270875,-1.100726017,-1.105447607,-1.089642294,-1.063749686,-1.035208217,-1.070926417,-1.022431417,-0.944471779,-0.930042299,-0.975594797,-0.966900008,-0.984636379,-1.004377923,-1.006925939,-1.009256818,-0.993322769,-1.014347701,-0.997494651,-1.035014069,-1.029180618,-1.059853914,-1.046364768,-1.022734256,-1.043904293,-1.028337083,-0.994976122,-1.003269006,-1.014472453,-0.992933615,-0.989638432,-1.021264874,-1.033483506,-1.039809775,-1.032244012,-1.051491267,-1.015480588,-1.01574499,-1.012422712,-0.998791832,-1.001946323,-1.015334196,-1.025209198,-1.031706994,-1.033710452,-1.042585227,-1.028291351,-1.037225223,-1.030458121,-1.003374202,-1.003269496,-1.001945464,-1.035509462,-1.032392857,-1.042508659,-1.052039136,-1.029791875,-1.01882935
error_2,-0.054749851,-0.232895545,-0.367633136,-0.771747638,-0.508515476,-0.843991344,-0.396247249,-0.184285784,-0.362591112,-0.425542443,-0.376994231,-0.240227313,-0.287002691,-0.342697964,-0.4540871,-0.402885553,-0.515006774,-0.605757802,-0.591776574,-0.662862196,-0.631085439,-0.671835915,-0.737097099,-0.654168633,-0.6569081,-0.677185559,-0.626990124,-0.672877644,-0.625800531,-0.627502805,-0.651576356,-0.649835768,-0.634301355,-0.694714295,-0.720106116,-0.727539587,-0.763295366,-0.779324007,-0.805326655,-0.831595361,-0.827287752,-0.784224174,-0.807626699,-0.844691123,-0.857060316,-0.85347664,-0.852855759,-0.846689002,-0.844967662,-0.835010452,-0.855193627,-0.801912728,-0.790238593,-0.771927135,-0.777791053,-0.795839949,-0.761449336,-0.8099417,-0.811589721,-0.813708551,-0.782820142,-0.797432612,-0.789976153,-0.787799636,-0.815699442,-0.84422724,-0.827930457,-0.813013309,-0.795656836,-0.792804509,-0.79370426,-0.792946366,-0.790097779,-0.800237673,-0.787392397,-0.785337016,-0.744672364,-0.756442746,-0.762089957,-0.766392293,-0.74311072,-0.763019807,-0.737166739,-0.712262894,-0.75064246,-0.732306113,-0.761820344,-0.733117893,-0.771552571,-0.77755387,-0.775930923,-0.785604789,-0.770574107,-0.770090361,-0.787692784,-0.769989088,-0.807524813,-0.810600283,-0.817258817,-0.830952471
error_3,-0.918378953,-1.224925731,-0.80081791,-0.762760616,-0.965782753,-1.077444934,-0.952600798,-0.969984245,-0.708006106,-0.927917584,-1.274234412,-1.04849966,-1.135197244,-1.211949449,-1.258999283,-1.051228521,-0.970753235,-0.96545717,-0.959670188,-0.942789858,-1.032392734,-1.113777211,-1.002248978,-1.01856832,-1.019952796,-1.10560295,-1.002489655,-0.96059777,-1.048753885,-1.076993496,-1.123517223,-1.0775261,-1.040563133,-1.00030523,-0.942815238,-1.013164115,-1.022449624,-0.976505827,-0.95851848,-0.935292632,-0.910015816,-0.906707822,-0.922997247,-0.937376213,-0.961072933,-0.91158028,-0.912642485,-0.896428523,-0.878990639,-0.868615585,-0.883039915,-0.919595275,-0.903943037,-0.928016037,-0.968093341,-0.976553582,-1.004039345,-1.0091233,-1.026785738,-0.994788779,-1.022305377,-1.045024307,-1.042886043,-1.040532236,-1.035633295,-1.021595177,-1.022188778,-0.998165801,-1.015566045,-1.000686047,-1.008062689,-1.001961955,-1.028392624,-0.999246152,-0.982858027,-0.943303458,-0.958319182,-0.946041699,-0.953473391,-0.987911515,-0.969166702,-0.987960067,-0.995266455,-1.003189679,-1.011597138,-1.009434844,-1.000191635,-0.990096614,-0.991390484,-1.001696082,-1.010841022,-1.00811167,-1.013882346,-1.019281585,-1.015419898,-1.02220674,-1.030884425,-1.037640186,-1.04284405,-1.041560172
