,k_10000,k_20000,k_30000,k_40000,k_50000,k_60000,k_70000,k_80000,k_90000,k_100000,k_110000,k_120000,k_130000,k_140000,k_150000,k_160000,k_170000,k_180000,k_190000,k_200000,k_210000,k_220000,k_230000,k_240000,k_250000,k_260000,k_270000,k_280000,k_290000,k_300000,k_310000,k_320000,k_330000,k_340000,k_350000,k_360000,k_370000,k_380000,k_390000,k_400000,k_410000,k_420000,k_430000,k_440000,k_450000,k_460000,k_470000,k_480000,k_490000,k_500000,k_510000,k_520000,k_530000,k_540000,k_550000,k_560000,k_570000,k_580000,k_590000,k_600000,k_610000,k_620000,k_630000,k_640000,k_650000,k_660000,k_670000,k_680000,k_690000,k_700000,k_710000,k_720000,k_730000,k_740000,k_750000,k_760000,k_770000,k_780000,k_790000,k_800000,k_810000,k_820000,k_830000,k_840000,k_850000,k_860000,k_870000,k_880000,k_890000,k_900000,k_910000,k_920000,k_930000,k_940000,k_950000,k_960000,k_970000,k_980000,k_990000,k_1000000
analytical,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515,10.18515
seed_1,10.20028061,10.14563175,10.16512442,10.18469139,10.2202842,10.20548197,10.20800233,10.20115676,10.19146047,10.1961605,10.18846677,10.17979876,10.18103097,10.17300726,10.16652025,10.16514703,10.16033529,10.16081821,10.15497986,10.15460048,10.15499727,10.15299507,10.15445039,10.15620805,10.16112002,10.15866346,10.1591441,10.15772958,10.15888537,10.16424585,10.16614633,10.16394618,10.1617247,10.1604709,10.1611319,10.16414948,10.16063141,10.15825414,10.1617305,10.15869289,10.1627154,10.16173981,10.15986005,10.1593417,10.16032511,10.16273962,10.16447938,10.16553828,10.16778642,10.16721908,10.16557699,10.16424384,10.16314258,10.16515237,10.16368711,10.16326948,10.16283788,10.16161092,10.16085126,10.16269387,10.15986958,10.16262918,10.16313493,10.16274865,10.16505304,10.16630665,10.16914049,10.16676992,10.16736739,10.16854137,10.16790481,10.16909161,10.16828857,10.1668009,10.1668633,10.16689659,10.16750345,10.16669205,10.16522121,10.1642211,10.164382,10.16584644,10.16586739,10.16573735,10.16519999,10.16571117,10.16613742,10.16686067,10.16600887,10.16705912,10.16761968,10.16825045,10.16945851,10.17079973,10.17226269,10.1730532,10.17109549,10.17131042,10.17108819,10.17093326
seed_2,10.05227435,10.14046673,10.13274767,10.15715882,10.18168371,10.16274439,10.17075708,10.19677691,10.18194561,10.17915323,10.18051924,10.17715024,10.17747844,10.18071715,10.17260157,10.16653768,10.16399866,10.16705001,10.17911149,10.18476099,10.19026751,10.19328691,10.18499,10.18813072,10.18984298,10.19356982,10.19587386,10.19879371,10.1976921,10.19623631,10.19747919,10.19396961,10.19104553,10.18805918,10.19215891,10.1954212,10.19317861,10.1927075,10.19587074,10.19043002,10.18949082,10.18627602,10.18369,10.18233449,10.18278948,10.18231531,10.17876012,10.17716074,10.1759752,10.17407445,10.17773853,10.17713557,10.17490393,10.17451945,10.1747282,10.17228757,10.17324728,10.174005,10.17381621,10.17342672,10.1730882,10.17154141,10.17083451,10.17032493,10.16888241,10.1693154,10.16782104,10.16702171,10.16904135,10.16948891,10.16830385,10.16810275,10.16940596,10.16802143,10.168342,10.16866557,10.16895239,10.17013861,10.16986164,10.17161301,10.1718426,10.17248759,10.17218434,10.17063147,10.17021609,10.16942806,10.16925906,10.16790265,10.16948123,10.1685764,10.17012345,10.17056301,10.17073036,10.1712877,10.17139906,10.17098893,10.17227399,10.17098972,10.17205964,10.17257759
seed_3,10.23648758,10.15594526,10.19086129,10.18609366,10.17457391,10.17257843,10.16697424,10.15511664,10.16376788,10.15746728,10.17415877,10.17024541,10.1739023,10.17038478,10.16998736,10.17371748,10.17780735,10.17772512,10.19556654,10.19045452,10.19338764,10.1993531,10.20125812,10.19651313,10.19320119,10.19446419,10.1994622,10.19293738,10.19231957,10.19111868,10.19108176,10.19200495,10.19077535,10.19173996,10.19629949,10.19781138,10.19852204,10.19812182,10.19619486,10.19811238,10.19754615,10.19620929,10.19473904,10.19546274,10.19434469,10.19450568,10.19521944,10.1948886,10.19428589,10.19454897,10.19033205,10.18860638,10.18947132,10.19035106,10.18840656,10.18740994,10.18639977,10.18700002,10.18641212,10.1875747,10.18704475,10.18724412,10.18853421,10.18983137,10.18907217,10.18917017,10.18862696,10.18882018,10.1881253,10.18797667,10.18861112,10.18760545,10.18864839,10.19120864,10.19091865,10.18908884,10.1916485,10.19053359,10.19041395,10.18954183,10.18857094,10.18985667,10.18796536,10.18784804,10.18825449,10.18896547,10.18985116,10.19004071,10.19045477,10.18936675,10.18812107,10.18889131,10.18898455,10.18815614,10.18877808,10.18988588,10.1899328,10.19068113,10.19022763,10.19030034
error_1,0.148555588,-0.387998742,-0.196615502,-0.004502702,0.344955137,0.199623685,0.224369058,0.15715778,0.061957584,0.108103417,0.032564803,-0.052539585,-0.040441487,-0.119220019,-0.182910908,-0.196393433,-0.243636159,-0.238894738,-0.296216933,-0.299941745,-0.296046049,-0.315704082,-0.301415422,-0.284158331,-0.235931522,-0.260050558,-0.255331566,-0.269219628,-0.257871757,-0.205241484,-0.186582122,-0.208183703,-0.229994666,-0.242304704,-0.235814927,-0.206187666,-0.240728788,-0.264069387,-0.229937749,-0.259761614,-0.220267783,-0.229846248,-0.248302226,-0.253391413,-0.243736099,-0.220029978,-0.20294859,-0.192552072,-0.170479337,-0.176049613,-0.192172067,-0.205261202,-0.216073604,-0.196341014,-0.210727314,-0.214827658,-0.219065227,-0.23111175,-0.238570236,-0.220479131,-0.248208612,-0.22111425,-0.216148692,-0.219941331,-0.19731626,-0.185008064,-0.157184821,-0.180459565,-0.174593464,-0.163067087,-0.169317004,-0.15766469,-0.165549184,-0.180155387,-0.179542748,-0.17921595,-0.173257618,-0.181224178,-0.195665176,-0.205484436,-0.203904691,-0.18952647,-0.189320867,-0.19059757,-0.195873457,-0.190854616,-0.186669585,-0.17956854,-0.187931767,-0.177620174,-0.172116492,-0.165923438,-0.1540624,-0.140894,-0.126530436,-0.118768962,-0.137990172,-0.135879984,-0.138061858,-0.139582997
error_2,-1.304601804,-0.438709947,-0.514497406,-0.274823423,-0.034032763,-0.219983157,-0.141312782,0.114155552,-0.031461389,-0.058877535,-0.045465832,-0.078543359,-0.075321042,-0.043522697,-0.12320319,-0.182739819,-0.207668443,-0.177709596,-0.05928735,-0.003819366,0.05024484,0.079889924,-0.00157096,0.029265366,0.046076663,0.082667575,0.105289184,0.133956921,0.12314108,0.10884774,0.121050692,0.086592806,0.057883546,0.028562967,0.068815007,0.100844859,0.078826672,0.074201173,0.105258494,0.051840327,0.042619142,0.011055529,-0.014334606,-0.027643301,-0.023176115,-0.027831631,-0.062737176,-0.078440245,-0.090080121,-0.108742107,-0.072767459,-0.078687405,-0.100598142,-0.104373039,-0.102323459,-0.126286084,-0.116863437,-0.109423976,-0.111277629,-0.115101662,-0.118425387,-0.13361203,-0.140552566,-0.145555716,-0.159718693,-0.155467499,-0.170139422,-0.177987488,-0.158158205,-0.153763975,-0.165399155,-0.167373573,-0.154578424,-0.168171956,-0.165024567,-0.161847718,-0.159031614,-0.147385085,-0.150104444,-0.132909109,-0.130654878,-0.124322301,-0.127299642,-0.142546023,-0.146624355,-0.154361377,-0.156020698,-0.169338216,-0.153839323,-0.162723166,-0.147533893,-0.143218207,-0.141575168,-0.136103013,-0.135009679,-0.139036456,-0.126419406,-0.139028669,-0.12852399,-0.123438598
error_3,0.504043453,-0.286738484,0.056074631,0.009265069,-0.103838328,-0.123430371,-0.178453561,-0.294874034,-0.209934226,-0.271794879,-0.107914228,-0.14633651,-0.110432307,-0.144968131,-0.148870064,-0.112246993,-0.072091762,-0.072899034,0.102271825,0.052080903,0.080878914,0.139449129,0.158153009,0.11156564,0.079048343,0.091448736,0.140520248,0.076458223,0.07039234,0.058601836,0.058239258,0.067303362,0.055230873,0.064701618,0.109468095,0.124312164,0.131289581,0.12736014,0.108440851,0.12726747,0.121708056,0.108582521,0.094147251,0.101252671,0.09027544,0.091856042,0.098863898,0.095615654,0.089698169,0.092281086,0.050878506,0.033935456,0.042427675,0.051065088,0.031973575,0.022188614,0.012270472,0.018163909,0.012391748,0.023806265,0.018603073,0.020560557,0.03322692,0.045962745,0.038508733,0.039470863,0.034137527,0.036034622,0.029212137,0.02775288,0.033982048,0.024108157,0.034347987,0.059485061,0.056637811,0.038672365,0.063803717,0.052857266,0.051682585,0.043119953,0.033587543,0.046211077,0.027641786,0.026489932,0.030480547,0.037461106,0.046157026,0.048018057,0.052083414,0.041400938,0.029170612,0.036733023,0.03764842,0.029514901,0.035621225,0.046497872,0.046958557,0.054305781,0.049853296,0.050567172
